controller_frequency,planner_patience,controller_patience,conservative_reset_dist,acc_lim_theta,acc_lim_trans,acc_lim_x,forward_point_distance,goal_distance_bias,max_scaling_factor,max_vel_theta,max_vel_trans,max_vel_x,min_vel_theta,min_vel_trans,min_vel_x,occdist_scale,oscillation_reset_angle,path_distance_bias,scaling_speed,sim_granularity,sim_time,stop_time_buffer,theta_stopped_vel,trans_stopped_vel,vth_samples,vx_samples,vy_samples,publish_frequency,resolution,transform_tolerance,update_frequency,cost_scaling_factor,inflation_radius,Planner_failed,Recovery_executed,Positional_error,Traveled_distance,Mission_time,Obstacle_distance,Energy,Task_success_rate
6.46,3.89,4.5,2.16,2.31,0.24,3.28,0.23,32.13,0.47,1.66,0.61,0.66,2.34,0.15,-0.07,0.24,0.17,27.22,0.24,0.04,2.02,0.33,0.12,0.13,12,7,1,2.18,0.14,1.47,3.82,14.64,1.03,100,5,0.138408117521229,10.22,71.33,0.82,36.12,0.6
6.55,4.13,3.25,1.09,3.23,0.43,1.61,0.6,8.88,0.21,1.54,0.58,0.61,2.01,0.19,-0.11,0.18,0.42,47.92,0.25,0.02,0.54,0.61,0.14,0.07,22,9,11,1.14,0.08,1.46,3.25,2.62,0.56,4,2,0.17108193461008,14.8,96.86,0.63,57.28,0.8
3.09,6.93,6.81,4.05,4.53,0.42,2.82,0.5,26.7,0.16,0.8,0.57,0.5,2.48,0.17,-0.3,0.43,0.16,45.59,0.34,0.03,0.88,1.31,0.14,0.07,19,7,4,2.05,0.09,1.35,1.34,19.56,1.14,34,3,0.189389120924771,16.04,90.57,0.4,54.68,0.8
4.68,5.43,5.71,4.71,3.85,0.37,4.94,0.62,32.27,0.4,0.7,0.54,0.38,1.94,0.14,-0.26,0.13,0.5,48.5,0.32,0.04,1.86,0.57,0.07,0.14,20,3,5,2.64,0.06,0.92,2.91,12.87,0.92,39,4,0.238266951987985,23.04,127.1,0.4,73,0.6
3.1,5.25,5.79,3.49,5.16,0.11,2.28,0.72,14.53,0.3,0.83,0.51,0.33,2.59,0.17,-0.02,0.49,0.47,45.24,0.19,0.03,2.14,1.46,0.11,0.13,28,4,1,4.47,0.14,1.15,1.42,6.91,1.25,22,2,0.298300487383092,12.29,88.61,0.75,58.64,0.8
6.27,5.63,4.8,1.72,2.75,0.18,2.93,0.42,32.61,0.31,1.56,0.67,0.58,1.86,0.13,-0.02,0.06,0.31,38.53,0.19,0.02,2.99,0.35,0.13,0.13,26,9,4,4.09,0.02,1.94,2.21,6.04,1.34,0,0,0.192807751060728,14.41,56.64,0.61,42.04,1
4.27,5.5,4.34,1.53,3.7,0.43,2.3,0.61,23.3,0.18,1.09,0.73,0.64,2.65,0.13,-0.24,0.42,0.21,14.9,0.15,0.04,1.46,0.65,0.14,0.13,29,7,11,5.49,0.04,1.56,5.41,12.66,1.18,0,0,0.156491343611638,16.05,58.97,0.4,42.68,1
6.82,5.8,5.91,4.27,2.37,0.36,3.43,0.3,31.58,0.15,1.59,0.46,0.62,2.9,0.12,-0.07,0.24,0.25,35.15,0.16,0.03,2.62,1.33,0.13,0.14,24,6,7,2.76,0.03,1.15,3.29,14.34,0.69,0,0,0.187642679756866,14.38,64.93,0.69,48.08,1
4.51,6.55,3.14,3.44,3.74,0.31,2.34,0.31,27.28,0.2,0.68,0.31,0.62,2.59,0.15,0,0.19,0.17,12.85,0.24,0.02,1.7,1.42,0.08,0.09,28,5,12,3.66,0.03,0.92,5.87,5.72,0.78,0,0,0.151282479141683,14.4,75.37,0.55,57.32,1
5.15,5.02,3.56,2.99,3.96,0.44,2.44,0.36,7.04,0.14,1.96,0.63,0.6,2.46,0.18,0,0.09,0.19,40.47,0.24,0.03,2.86,0.98,0.08,0.14,27,9,10,3.94,0.14,0.66,3.68,12.38,1.36,95,8,0.125543025304801,4.54,54.92,1.59,18.12,0.2
3.53,3.72,4.77,4.8,2.21,0.18,2.86,0.72,6.14,0.42,1.34,0.55,0.74,2.02,0.12,-0.2,0.32,0.38,32.06,0.19,0.02,1.46,1.37,0.13,0.06,23,6,0,3.64,0.07,1.04,5.1,2.85,0.81,93,12,1.14937633326592,9.49,119.62,1.1,61.28,0
5.56,3.47,3.01,2.57,2.57,0.28,2.57,0.38,9.25,0.27,0.94,0.34,0.43,1.71,0.15,-0.27,0.15,0.48,11.6,0.18,0.02,1.79,0.5,0.14,0.07,27,9,0,3.65,0.02,1.18,2.89,11.21,1.18,0,0,0.161386259648999,14.43,75.27,0.65,56.2,1
5.87,6.89,4.82,4.03,3.95,0.33,4.97,0.62,5.09,0.36,1.19,0.73,0.71,1.66,0.12,-0.05,0.46,0.25,45.38,0.29,0.03,2.15,0.41,0.07,0.14,19,10,11,3.05,0.09,0.85,1.64,19.81,0.95,69,3,0.174499044113935,12.04,77.24,0.67,46.04,0.8
